lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
2	0.000414684714211881	5.47155251316284e-05	0.000288101363598357	8.14369961701803e-05
6	0.00151449209280104	4.37651843514105e-05	0.000734139349338401	6.27721528281943e-05
12	0.00231634961613483	5.89829557941321e-05	0.0010928998292122	8.22336655261825e-05
18	0.0032237722853015	7.18285980673336e-05	0.0016027458852488	9.79905162631986e-05
24	0.0044223125711685	8.26715728339256e-05	0.00221150855565916	0.00011042408313038
30	0.0052161708694804	9.17537443168587e-05	0.00268334194430502	0.000120290048458566
36	0.00560609037987432	9.92027096926367e-05	0.00300917278341929	0.000128438272796172
42	0.00561928163038287	0.000105200715693087	0.00305150679961031	0.00013494225144165
48	0.00538337057144338	0.000109839657053387	0.00303393674173412	0.000139937491897047
54	0.00495360927415486	0.000113513533328347	0.00293057296684895	0.000143960818365412
60	0.00440717641429981	0.000116300926585968	0.00277155724167534	0.000147224393423675
66	0.00382155672217227	0.000118344150165943	0.00257780104624926	0.00014970955445415
72	0.00328061817964778	0.000119830434069626	0.00236719964988859	0.00015159767007371
78	0.00282514244315976	0.000120896287321202	0.00205360737551868	0.000153026055636991
84	0.00250129611960383	0.000121647626593592	0.00185499091559077	0.00015410429886523
90	0.00226177789998239	0.000122151416109955	0.00165358230542987	0.000154905652167254
96	0.00205352449230096	0.000122450604695516	0.00145095615995655	0.000155417194272488
102	0.00187135584513349	0.000122624222211487	0.00131500765321221	0.000155759484841979
108	0.00169184022004372	0.000122717050372253	0.0012302389503876	0.000156013000778189
114	0.0015604552326771	0.000122759194527261	0.00117056953788643	0.000156123467028252
120	0.00140484546118407	0.000122766776466953	0.00110890171472728	0.000156141475540095
126	0.00123471075358184	0.000122763640432457	0.0010147123094998	0.00015613467566063
132	0.00112592015394244	0.000122759456433908	0.000951092543723323	0.000156101658985812
138	0.00102856370846568	0.000122756684762893	0.000929218913892638	0.000156054150486766
144	0.000934948048505601	0.000122763649235381	0.000879126418161276	0.000155972025419715
150	0.000867815671770137	0.000122776664619538	0.000891800898259046	0.000155887543487618
156	0.000857177626835139	0.000122796156883254	0.000833812196048769	0.000155820387932009
162	0.00083864788703904	0.00012280993938325	0.000822489464715918	0.000155751969339286
168	0.000851592643251673	0.000122829244209913	0.000798673075591291	0.000155701044941046
174	0.000844013664498778	0.000122846585046806	0.000780154112843245	0.000155639741969223
180	0.000830743949704143	0.000122862003233406	0.000683851364209774	0.000155562568047469
186	0.000839568957656655	0.00012287963571537	0.000668675346687343	0.00015549090288587
192	0.000909411426771364	0.000122897326503863	0.000707299126446913	0.000155417325714072
198	0.00090254410108621	0.00012291962279122	0.000672289677346911	0.00015537365129088
204	0.000853232898490744	0.000122945286907477	0.000597517677416188	0.000155344671001205
210	0.000839247736168116	0.000122975210281995	0.000554957036448906	0.000155324650887443
216	0.000767876152390542	0.00012299796422057	0.000468360066551579	0.000155303940239762
222	0.000729122021292015	0.000123022581257208	0.000447565572167185	0.000155300149681898
228	0.000679754927323304	0.000123042797198885	0.000446677728021076	0.000155304478139987
234	0.000603879510345733	0.00012305901986412	0.000432064490629581	0.000155308983508514
240	0.000573935967074884	0.000123071238012489	0.000453791443823448	0.000155314070211498
246	0.000637742498973103	0.00012307662595779	0.000584197514329666	0.000155315065212826
252	0.000657743846006469	0.000123079771352604	0.000642365467146639	0.000155313879163985
258	0.000617389577551643	0.000123077292469486	0.000610533355021416	0.000155299774627152
264	0.000567049318980264	0.000123060281550154	0.000592534063724006	0.000155289251193492
270	0.000526542424565946	0.000123035503849445	0.000553045312353885	0.000155298934268276
276	0.000462674839954646	0.000123006484039116	0.000416893531299379	0.000155304826149496
282	0.000454564633377735	0.00012298005237365	0.000357808461582551	0.000155300004626753
288	0.00046342207404095	0.0001229668653614	0.000399576953774827	0.00015526849067344
294	0.000494164896980421	0.00012294994784218	0.000371216662864746	0.000155225219474415
300	0.000483790399505761	0.000122900435292549	0.000347786043076709	0.000155177381467589
306	0.000500637996616894	0.000122815987390812	0.000334234063431011	0.00015512810567604
312	0.000514891129167236	0.000122714536812807	0.000340561131782086	0.000155089438571081
318	0.000550901926069347	0.000122607093527111	0.000350158316374633	0.000155047435461804
324	0.000499283130624604	0.000122511456269835	0.000274388624489567	0.000155011967567777
330	0.000444406145437044	0.000122426471309404	0.000277499946565546	0.000154978757851843
336	0.000415589167857079	0.000122345815833078	0.000242046852456578	0.000154935137495773
342	0.000374776223088838	0.000122280474003373	0.000192051995841299	0.00015490294691337
348	0.000353918750480154	0.000122230628317041	0.000182836956426378	0.000154875649839291
354	0.000336737038831298	0.000122198844561713	8.13362460536821e-05	0.0001548653428542
360	0.000363867651386862	0.000122165876572001	0.000124762896142842	0.000154848599693207
366	0.000324888664444044	0.000122140693671974	0.000135067283340326	0.000154841812709191
372	0.000290055587159312	0.000122128711201028	0.000164640256708094	0.000154841592017747
378	0.000293302374778011	0.000122124791049727	0.000198055923125347	0.000154845743176972
384	0.00031108013828404	0.000122127817019533	0.000266000804211198	0.000154861454513052
390	0.000282643805648874	0.000122133550686959	0.000216344190846158	0.000154880893741081
396	0.000269130141867916	0.000122141068554619	0.000221012984765575	0.000154910774720281
402	0.000258607088722216	0.000122148466862262	0.000246142024951771	0.000154930364463008
408	0.000240975104027185	0.000122148079246695	0.000265473315219412	0.000154940911851861
