lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00407064179815805	6.96551905834167e-05	0.0033437578218108	9.5732668289764e-05
1	0.00474281402281573	5.33899461149233e-05	0.00384910324076184	7.37968171772477e-05
2	0.00763740932945686	6.57135947557225e-05	0.0059397987660571	9.02893351271958e-05
3	0.00969212438997829	7.42738815385609e-05	0.00760424999739996	0.000101105675052655
4	0.0104488736140297	8.03981811753118e-05	0.00848138488986995	0.000108443230693226
5	0.0101838376592746	8.50107598425752e-05	0.00874706225201966	0.000113645383930817
6	0.0091632262608621	8.85629902688325e-05	0.00851154312326768	0.000117419789455224
7	0.00790792135965778	9.13526113060151e-05	0.00763928412523019	0.00012019439760595
8	0.00697663041435985	9.35131629016203e-05	0.00678855193626707	0.000122285918677459
9	0.00619130180626745	9.52760162995382e-05	0.0060386504479568	0.00012392516937031
10	0.00549622321764011	9.67308165486619e-05	0.00533118794039725	0.000125228902365143
11	0.00520077154008958	9.79120258256503e-05	0.00497767302197986	0.000126251820508401
12	0.00499391208445708	9.88876619623387e-05	0.00467478378528241	0.000127094314649451
13	0.00477398258011357	9.97160886911216e-05	0.00442648350116707	0.000127804724005122
14	0.00448239641944166	0.000100425779394084	0.00423312636465262	0.000128411193811262
15	0.00418664413122101	0.000101040936047647	0.00401933750414547	0.000128928210370795
16	0.00392923845903501	0.000101551043634262	0.00383155672663586	0.000129388823671115
17	0.00385314234643538	0.000101987582423642	0.00388540880993166	0.000129818446354778
18	0.0039396480671687	0.000102375379200712	0.00402441299317191	0.000130215054157174
19	0.00388561893285641	0.000102734715093864	0.00402357686990979	0.000130586350661073
20	0.00371072143046772	0.000103044909964149	0.00386114927134793	0.00013088751923901
21	0.00357828327505929	0.000103306481228246	0.00364185914440639	0.000131143757060616
22	0.00357539926072432	0.000103522293995849	0.00357455466632993	0.000131370983651072
23	0.00355187944104468	0.000103714217513523	0.00349208617023477	0.000131558011694096
24	0.00353728271644218	0.000103878771142037	0.00344872393563906	0.000131720942869338
25	0.00336231395198497	0.000104022121598832	0.00335021401155869	0.000131860073864029
26	0.00316086446040541	0.000104144839565713	0.00318712710474088	0.000131991440048119
27	0.00301969515740085	0.000104254729085298	0.00302704848441988	0.000132111127851821
28	0.00298875919969327	0.000104349696204869	0.00295946889230185	0.000132220869099969
29	0.0029756063726575	0.000104437108334087	0.00296625674944497	0.000132332957027527
30	0.00298865888122431	0.000104517202043693	0.00284551248463822	0.000132447883240155
31	0.00282148719377463	0.000104599230607577	0.00267838110204527	0.000132573589974012
32	0.00265536449589328	0.000104676438168296	0.00250916497626106	0.000132694520906139
33	0.00258471163295009	0.000104747836070669	0.00229100200617286	0.000132793983775077
34	0.00260434426453423	0.00010481062151211	0.00222176217431441	0.000132871483849712
35	0.00271139259804679	0.000104867580547337	0.00232356920537442	0.000132944171153249
36	0.00270632299949281	0.000104917999640413	0.00234332977280741	0.000133007807636181
37	0.00262423626052785	0.000104966310107741	0.00238268234238503	0.000133080051024865
38	0.00252046648417576	0.000105015691614938	0.00244998726606236	0.000133156404938184
39	0.00235337183593051	0.000105065416045905	0.00229969057468227	0.000133225959416292
40	0.00226548371205859	0.000105118348191672	0.00214950262103531	0.00013330094814027
41	0.00232446372126233	0.000105163135003343	0.00214354776885752	0.000133373302810398
42	0.00233528372094732	0.000105209304362384	0.00212066906853979	0.000133462329045906
43	0.00228891606902384	0.000105255890348411	0.00207436531762039	0.000133562474850165
44	0.00226996871807165	0.000105300592325425	0.00211618153880691	0.00013365791700705
45	0.00224762772217176	0.000105346757555036	0.00217325099754825	0.00013375256967475
46	0.00219751844305934	0.000105388352217914	0.00215565073648247	0.000133829328331935
47	0.00220767751699612	0.000105431009321559	0.00224448899369234	0.000133901450224392
48	0.00224112393166269	0.000105475563448265	0.00227998640082739	0.000133972763043054
49	0.00217156593800337	0.00010552782196361	0.00217398083892642	0.000134032708420919
50	0.00210363299178126	0.000105562031712535	0.00211616735220442	0.000134082792905271
51	0.00200313146531556	0.00010559179554725	0.00194691901291773	0.000134130775400863
52	0.00199990552040584	0.000105636272410594	0.00184870148740079	0.000134190796578582
53	0.00196730891332822	0.000105676830605826	0.00188370488546926	0.000134243164872981
54	0.0019762368348385	0.000105719744379792	0.00191544170976791	0.000134292758522811
55	0.00190102038485368	0.000105751182429735	0.00182476400488718	0.000134316960790493
56	0.00186344735729061	0.000105776369294099	0.00179036876505911	0.000134331696235854
57	0.00178872605611305	0.000105799897495493	0.00170782346128602	0.000134350538830194
58	0.00183026507697408	0.000105814905559467	0.00178014186463226	0.000134362246365075
59	0.00186045560056495	0.000105828551758627	0.00175664693203527	0.000134371826257133
60	0.00183920727150065	0.000105838525480911	0.00172203209308063	0.000134381076075471
61	0.00181217535801793	0.000105848081916827	0.00173530378310978	0.000134393386808623
62	0.00180337194720454	0.000105858023206471	0.00176575057276426	0.000134408394948742
63	0.00180807214138531	0.000105867537202411	0.00171903894051301	0.000134420641290872
64	0.00183846828497228	0.000105874355721251	0.00172046471698456	0.000134433096193245
65	0.0018128289858275	0.000105879076413649	0.0017656350643161	0.000134444285198886
66	0.00184877683088191	0.000105885325957053	0.00179874059420226	0.000134455186016763
67	0.00180751657112563	0.000105895342610521	0.00176096512370853	0.000134464066809601
68	0.0017614753435679	0.000105907541209591	0.00169750599114705	0.000134469793101838
69	0.00173825849008557	0.000105921381561576	0.0017125011807446	0.00013447868251495
70	0.00174774947718467	0.000105933472943677	0.00177871685569702	0.000134480999196594
