lagtime	NRF_p<3.235|antQ0.0221-0.1	NRF_p=3.235-6.47333|antQ0.0221-0.1	NRF_p=6.47333-9.8325|antQ0.0221-0.1	NRF_p=9.8325-13.285|antQ0.0221-0.1	NRF_p<3.11|antQ0.1-0.2	NRF_p=3.11-6.22|antQ0.1-0.2	NRF_p=6.22-9.3375|antQ0.1-0.2	NRF_p=9.3375-12.535|antQ0.1-0.2	NRF_p<3.11|antQ0.2-0.4	NRF_p=3.11-6.22667|antQ0.2-0.4	NRF_p=6.22667-9.3525|antQ0.2-0.4	NRF_p=9.3525-12.805|antQ0.2-0.4	NRF_p<3.5|antQ0.4-2.86	NRF_p=3.5-7.01333|antQ0.4-2.86	NRF_p=7.01333-10.545|antQ0.4-2.86	NRF_p=10.545-14.1|antQ0.4-2.86	se_p<3.235|antQ0.0221-0.1	se_p=3.235-6.47333|antQ0.0221-0.1	se_p=6.47333-9.8325|antQ0.0221-0.1	se_p=9.8325-13.285|antQ0.0221-0.1	se_p<3.11|antQ0.1-0.2	se_p=3.11-6.22|antQ0.1-0.2	se_p=6.22-9.3375|antQ0.1-0.2	se_p=9.3375-12.535|antQ0.1-0.2	se_p<3.11|antQ0.2-0.4	se_p=3.11-6.22667|antQ0.2-0.4	se_p=6.22667-9.3525|antQ0.2-0.4	se_p=9.3525-12.805|antQ0.2-0.4	se_p<3.5|antQ0.4-2.86	se_p=3.5-7.01333|antQ0.4-2.86	se_p=7.01333-10.545|antQ0.4-2.86	se_p=10.545-14.1|antQ0.4-2.86
10	0.00460199739417324	0.0146053001843919	0.0181539631454641	0.00383291074340319	0.00710892329298471	0.0167290087867748	0.026385986797956	0.0623698116441555	0.0101943424985513	0.0271023707151878	0.0444303638478874	0.0425202535728851	0.00880284384961697	0.0444592197375574	0.0656406074748202	0.0941062099740604	0.000537728928774728	0.00151461301707552	0.00331835173848283	0.00548382795651624	0.000493342096846774	0.00110614242822989	0.00238833283775539	0.00451484577232788	0.000592564152229834	0.00119162590700376	0.00237778970263205	0.00412284789769816	0.00107057888247795	0.00171373023135604	0.00336662374735141	0.00479127096698075
11	0.00366146552980466	0.0132316536665167	0.0151452973596969	4.44911667145274e-05	0.00642315840988286	0.0143585097913766	0.022488333194715	0.0557038094272684	0.00947352199995769	0.0256749838207691	0.0421259641427616	0.0413852802288966	0.00966055270795195	0.047059186811059	0.0652261841937758	0.0986251429828931	0.00054420940568261	0.00154565256088664	0.00339112854876748	0.00560078627993485	0.000498520836837185	0.0011272682341738	0.00243810715684843	0.00461155199822402	0.000597509215456531	0.00121250085260821	0.00242622255908984	0.00420701033181563	0.00107900405897298	0.00173842962867442	0.00343613871698479	0.00487724949723119
12	0.00278507319914121	0.0121294628693729	0.0143688243567003	0.00150978644210455	0.00564191151801243	0.0124086368246252	0.019870255541558	0.0483883188599498	0.00941526235103343	0.0259771976213563	0.0438044073578182	0.046971330505989	0.00919377059329504	0.0469722666441517	0.0632929937518567	0.0858247026872261	0.000549508272943079	0.0015728959133946	0.00345483906213051	0.00570187392540057	0.000503030826385388	0.00114568907436106	0.00248053338424914	0.00469597951595556	0.000601728221634561	0.00123065891728253	0.00246761834864404	0.00428112828358137	0.00108725079511771	0.00175816914692967	0.00349994312660526	0.00495213884817249
13	0.00217894530994599	0.0111040842651573	0.0121838362684509	0.00135705740099151	0.00488066527348511	0.0112434878154853	0.0193676696733955	0.0410611573269826	0.00957280702238252	0.0260014798123156	0.0444217975276236	0.0528079506094369	0.00859565800903	0.0452413705746893	0.0620875347827143	0.0781490216644688	0.000554094025335285	0.00159658934641717	0.0035106274596092	0.00578957690258165	0.000506994879240717	0.00116184307954111	0.00251720815240768	0.0047700084142126	0.000605258843913641	0.0012465112102169	0.00250371334737586	0.00434559772653886	0.00109498614198136	0.00177431323578202	0.00355400562126026	0.00501922581447777
14	0.00200036435753412	0.0104196280462231	0.0105356227757228	-0.00243054007343079	0.00477552012276819	0.00956318540466488	0.0164505098672361	0.0356098181361973	0.00986478930771647	0.0263225597319326	0.0431783940757168	0.0517403655096243	0.00756526965260972	0.0419534551637334	0.0586433590536883	0.0741784036260616	0.00055807637383473	0.00161761938424517	0.00355964384176316	0.00586584335869534	0.000510487485934241	0.00117553690096213	0.00254956752324365	0.00483507961697631	0.000608349854260843	0.00126044997192968	0.00253482552539763	0.00440119877325839	0.00110077979395106	0.00178821963576987	0.00360127901613884	0.00507319564434293
15	0.00148023756452941	0.00856532412277521	0.0109818469481325	-0.00480917744268712	0.00474051626583981	0.00796028482210065	0.0134576856792051	0.0331352767019383	0.0098723358300332	0.0261544198138234	0.040495930040972	0.0485016038733317	0.00683288265132276	0.0386843786701509	0.0548392291485288	0.0678010773732092	0.000561415385778187	0.00163640691915803	0.0036015445237325	0.00593212544993489	0.000513415597179577	0.00118731250726502	0.00257806993914139	0.00489176836391615	0.000611241972440382	0.00127283340395769	0.00256121716392318	0.00444914787155008	0.00110504958827589	0.00180065722400471	0.00364141764033061	0.00511421216326217
16	0.000952066307142513	0.00687755492048197	0.0134602672810685	-0.00386760886735851	0.0045531545544899	0.00736518824523355	0.0111031521168576	0.0333333660246173	0.00939114839882017	0.0250632593251777	0.0385672237741526	0.0439973551366672	0.00777653986338156	0.0359215128134259	0.0511472577015568	0.0579501986937849	0.000564376816262104	0.00165313649756751	0.00363949690540443	0.00599052131046079	0.000515912715842517	0.00119748853287979	0.00260315575342636	0.00494025257892637	0.000613827347334557	0.00128353223633987	0.0025831965086693	0.0044905896364804	0.00110775273157929	0.00181217286830999	0.00367503109517667	0.00515006673438596
17	0.000916046565461101	0.00592608601196463	0.013939053187804	0.00118399485165884	0.00481845000352867	0.00791650393963901	0.0104647343835906	0.0349746407386616	0.00931089567637559	0.0234428825293112	0.0363346420483699	0.0418672900060856	0.00967390449120376	0.0359959439830428	0.0513142096352103	0.0552662211241857	0.000567107067648057	0.00166748247754149	0.00367367599567076	0.00604220685401175	0.000518100271824717	0.00120651511745795	0.00262531786003223	0.00498225134063994	0.000616101996031094	0.00129282093943147	0.00260220125685469	0.00452749797206247	0.00111023723079519	0.00182172143938602	0.00370273287754217	0.00518326172105655
18	0.00105830274708558	0.00610861783559259	0.013540833087646	0.00765918622603232	0.00484213177407871	0.00856588873642583	0.0112825068925338	0.0361584937276993	0.00904693574281726	0.0231229691744973	0.037275902673583	0.0431368143609841	0.0105745574852074	0.0368161341690313	0.0538590530767003	0.0568171630944972	0.000569543802790674	0.00167979707538587	0.00370426958183015	0.00608767664719801	0.00051986840161923	0.00121470267588895	0.00264471391760497	0.00501930134532471	0.000617951380651873	0.00130103528868613	0.00261885101031059	0.00456116093262576	0.00111194431657404	0.00182926205602416	0.00372644577909482	0.00521445393719275
19	0.000907445836064847	0.00491834780581219	0.0101171244217248	0.00534002981099786	0.00494439365642723	0.00897764969119777	0.0116550531241971	0.0316256813457982	0.00845621345226978	0.0228763957629221	0.0394386400108873	0.0490778954006661	0.011952472261546	0.0386248220772534	0.0567433390470575	0.0547126024041246	0.000571754437891561	0.00169027969669304	0.00373116254119266	0.00612758118117208	0.000521454103572512	0.00122198696005421	0.00266153359345229	0.00505206428259506	0.000619425613290314	0.00130823555604282	0.00263419204767659	0.00459307820667214	0.00111329408609666	0.00183600114561717	0.00374928803351875	0.00524154975880199
