lagtime	NRF_p<3.235|antQ0.0221-0.1	NRF_p=3.235-6.47333|antQ0.0221-0.1	NRF_p=6.47333-9.8325|antQ0.0221-0.1	NRF_p=9.8325-13.285|antQ0.0221-0.1	NRF_p<3.11|antQ0.1-0.2	NRF_p=3.11-6.22|antQ0.1-0.2	NRF_p=6.22-9.3375|antQ0.1-0.2	NRF_p=9.3375-12.535|antQ0.1-0.2	NRF_p<3.11|antQ0.2-0.4	NRF_p=3.11-6.22667|antQ0.2-0.4	NRF_p=6.22667-9.3525|antQ0.2-0.4	NRF_p=9.3525-12.805|antQ0.2-0.4	NRF_p<3.5|antQ0.4-2.86	NRF_p=3.5-7.01333|antQ0.4-2.86	NRF_p=7.01333-10.545|antQ0.4-2.86	NRF_p=10.545-14.1|antQ0.4-2.86	se_p<3.235|antQ0.0221-0.1	se_p=3.235-6.47333|antQ0.0221-0.1	se_p=6.47333-9.8325|antQ0.0221-0.1	se_p=9.8325-13.285|antQ0.0221-0.1	se_p<3.11|antQ0.1-0.2	se_p=3.11-6.22|antQ0.1-0.2	se_p=6.22-9.3375|antQ0.1-0.2	se_p=9.3375-12.535|antQ0.1-0.2	se_p<3.11|antQ0.2-0.4	se_p=3.11-6.22667|antQ0.2-0.4	se_p=6.22667-9.3525|antQ0.2-0.4	se_p=9.3525-12.805|antQ0.2-0.4	se_p<3.5|antQ0.4-2.86	se_p=3.5-7.01333|antQ0.4-2.86	se_p=7.01333-10.545|antQ0.4-2.86	se_p=10.545-14.1|antQ0.4-2.86
10	0.00539979869421805	0.015596814560398	0.0180065803343894	0.0042680065543193	0.00515840217786142	0.0139579834778701	0.0216896461598468	0.0568198935132749	0.00824939828598214	0.0213823236490014	0.0379482287640621	0.0395369422224685	0.0123013553373407	0.0478417111207515	0.0785211765048852	0.0998004483205682	0.00049761791421742	0.00138328144951693	0.00302156221700752	0.00499499209602691	0.000457054832602506	0.00101310148521527	0.00217689929768734	0.00411352361205057	0.000552843078289529	0.0010950435354284	0.002169899809673	0.00376004703563464	0.000994872812826214	0.00158433327882933	0.00307842599703417	0.00439709065892611
11	0.00454479245970779	0.0143763155873933	0.0150275479117626	0.000615986278489665	0.00444488294112098	0.0115210939971992	0.0175683589658055	0.0499231768668719	0.00740211367051578	0.0196062512449958	0.0352632583307165	0.0382447791762948	0.0129777113032987	0.0501522602379758	0.0781130184252125	0.10386153932581	0.000500713186040333	0.00140045453293456	0.00306218534462252	0.00505939860217492	0.000459384225405031	0.00102462158611383	0.00220436721892264	0.00416700963950513	0.000555005287974681	0.00110623273919209	0.00219631556246241	0.00380577111527906	0.000997911480569968	0.00159675055777214	0.00311680620954121	0.00444264916844907
12	0.00374942287110902	0.0134141677125601	0.0142672188545748	0.00232644365307971	0.00365255578827328	0.00954528018948375	0.0147652399080195	0.0424117715434858	0.00722979214514647	0.019596064499113	0.0365594114816946	0.0435857354531146	0.0123235693815383	0.0497587855120486	0.0761497172466445	0.0907182318264199	0.000503027841253972	0.00141464385571716	0.00309591307295122	0.00511150205358868	0.000461340433278659	0.00103405176949595	0.00222603080926096	0.00421088492848433	0.000556680954737708	0.00111521382106905	0.00221732755056018	0.00384388929491913	0.00100097681712388	0.00160557534151814	0.00315068817859094	0.00447965093821242
13	0.00321190877924881	0.0125062950802581	0.0120791569931939	0.00248602473266705	0.00290687981695592	0.00839334192502039	0.0141339861791658	0.0349301576568934	0.00731733021104871	0.0194149320938147	0.036891879398729	0.0492123779605039	0.0115228124608866	0.0477307035144365	0.0748679526382013	0.082752980856811	0.000504897568184752	0.00142618936893	0.0031237746570419	0.00515375864694375	0.000463000343957791	0.00104187686491554	0.00224340463253929	0.00424706763384656	0.000557961034426157	0.00112253968839548	0.00223446654457045	0.00387494710650937	0.00100386085421217	0.00161206781189239	0.00317724834688386	0.0045109012114702
14	0.00309497440812843	0.0119390258384611	0.0104526550760241	-0.000968291927630739	0.00282059399843751	0.00672214191820722	0.0110991249868142	0.0293484195228198	0.00753959707123283	0.0195562285963009	0.0353534827611565	0.0479036742911583	0.0103182979429547	0.0442380627701321	0.071414811847478	0.0786428686924225	0.00050642863285753	0.00143589014027278	0.00314677794649839	0.0051880677720939	0.000464393086887746	0.00104799269950181	0.00225780128228333	0.00427702682432741	0.000558986226075253	0.00112860618030752	0.00224815972259644	0.00389979023151864	0.00100525933489317	0.0016171810637607	0.00319897690799624	0.00453311153075205
15	0.00263228232876593	0.0101567557273698	0.0109164851146177	-0.00293962049049664	0.00281459514683413	0.00515594733115621	0.00803495791855668	0.0268638149763223	0.00746902192998877	0.0192301452732346	0.0323757780176311	0.0443615791150229	0.0093784226579084	0.0407027477616391	0.0674394126449388	0.0719855387606887	0.000507587765223279	0.00144415236801952	0.00316498571681884	0.00521583693525825	0.000465474768587443	0.00105281446240152	0.00226968174681113	0.0043012991664792	0.000559879073899474	0.00113365800886007	0.0022588553246143	0.00391958993194223	0.00100579801495465	0.00162150948048282	0.00321580041722701	0.00454716701658405
16	0.00216215312471275	0.00852594371214033	0.0133683302168209	-0.00160823475015957	0.00265650475835728	0.00460276759150722	0.00564578719040257	0.0270828475365274	0.0069586413360095	0.0180718857863076	0.0302325569191045	0.0396284194844067	0.0101944144118296	0.0377116624968112	0.0634926019510725	0.0619071428369267	0.000508570648674971	0.00145112442462048	0.00318132580914471	0.00523884192506491	0.000466272107560457	0.00105659365878329	0.00227950776650489	0.00432032367986094	0.000560611077199312	0.00113766656917036	0.00226692127435233	0.00393542733310594	0.00100543790349622	0.00162557638877693	0.00322842200106236	0.00455819610391022
17	0.00217979945180163	0.00762674352353351	0.0138206893096004	0.00380026061044166	0.00293835623401667	0.00519522340721626	0.00498305129438369	0.0287447798599212	0.00683618985779111	0.0163749559269915	0.0278486169268571	0.0373588032925496	0.0119744264797568	0.0375144806958324	0.0633448786373786	0.0590210339156168	0.000509480622263853	0.00145663177269993	0.00319578056486782	0.0052580800959553	0.000466873862524118	0.00105975938930787	0.00228778548205545	0.00433556563897205	0.000561225156793479	0.00114088105690851	0.00227339676489465	0.00394890256857228	0.00100523794417832	0.00162844880001473	0.00323733687023653	0.00456765904768175
18	0.00237254922328523	0.00787197043755751	0.0134017055291725	0.0105773956186857	0.00297864780145241	0.00588806323502723	0.00579750620138139	0.0299102404009543	0.00652913027861594	0.0159776216891585	0.0286488993615146	0.0385005178380738	0.0127473450845617	0.0379974240887215	0.0654637891376448	0.0605199759303257	0.000510280287660705	0.0014609820875809	0.00320821840737011	0.00527396243807543	0.000467284308968128	0.00106262326374933	0.0022946549484227	0.00434821922195259	0.000561643695960159	0.00114352519638308	0.00227865427128728	0.00396099038721473	0.00100453970826626	0.00163014295627347	0.0032438387733885	0.00457639079664909
19	0.00226995222097908	0.00675747776822931	0.00995491083448631	0.00846017984363988	0.00310022398813473	0.00634868823597388	0.00620384765430938	0.0253785840183925	0.00592307626172477	0.0157057703237393	0.0307352288487121	0.0443753967345836	0.0140089654306801	0.0396045127607202	0.0681266663907474	0.0582672282441507	0.000511023183597422	0.00146434705679262	0.00321844164890761	0.00528700628039198	0.000467700121316501	0.00106510190978084	0.00230017964116501	0.00435869832276945	0.000561927100943098	0.00114568568309686	0.00228335374383705	0.00397296540576956	0.00100402904961052	0.00163176698556341	0.00325041910802133	0.00458320018115165
