lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.000789933490946357	0.000140303658693401
1	0.0105302965922373	8.40702693462502e-05
2	0.0351452205062221	8.99286425931874e-05
3	0.0362060712930253	9.42676752379059e-05
4	0.0305336782658904	9.58556056109349e-05
5	0.0250292637138461	9.54985670257181e-05
6	0.0205944861128715	9.45784860955097e-05
7	0.0175018894667869	9.37143975427517e-05
8	0.0150657619676573	9.27706969594201e-05
9	0.0133237863164822	9.17989199445915e-05
10	0.0118105574912525	9.08211684139597e-05
11	0.0105763637362188	8.98020428470156e-05
12	0.00989921887504164	8.88221992806262e-05
13	0.00923181269242457	8.79637461675495e-05
14	0.00860422123253049	8.71888707457586e-05
15	0.00805353724366676	8.64749393124815e-05
16	0.00764410864023489	8.59042309870332e-05
17	0.00729933165978135	8.53938269361028e-05
18	0.00692325867191467	8.49080861527868e-05
19	0.00661761140887784	8.44342905646161e-05
20	0.00640313640919384	8.40357362814553e-05
21	0.00628687101041792	8.36508063076664e-05
22	0.00601560087309487	8.33270038257652e-05
23	0.00566443602776999	8.30477195186654e-05
24	0.00558783447992583	8.27461018509729e-05
25	0.0053754489320571	8.25163003671162e-05
26	0.00521333044332567	8.23369462478719e-05
27	0.00508686347659766	8.21325845815819e-05
28	0.00487764360224019	8.1917787606545e-05
29	0.00481079115222444	8.17150088163517e-05
30	0.00462887818790545	8.15276344623451e-05
31	0.00440054840119179	8.13331788715204e-05
32	0.0042728671684275	8.11199812390539e-05
33	0.00420564925187763	8.09734238788404e-05
34	0.00409923603890461	8.08129544974471e-05
35	0.00416838524850814	8.0662564492719e-05
36	0.00409872238920411	8.05303791838067e-05
37	0.00398143971330205	8.04057314498321e-05
38	0.00376805872321494	8.03222551583967e-05
39	0.00372117720595201	8.02005908297147e-05
40	0.00361385005246066	8.00881546829319e-05
41	0.00355402454087187	7.99996498109475e-05
42	0.00346425827916146	7.99149260683054e-05
43	0.00346085605576466	7.98172686081837e-05
44	0.00328522143650089	7.97302014816452e-05
45	0.00321930553439482	7.96262945513366e-05
46	0.00318750746608433	7.95756922440342e-05
47	0.00315373347314509	7.9495173350748e-05
48	0.00307041816157876	7.94244749082463e-05
49	0.00302022875369106	7.933187366119e-05
50	0.00290377877970372	7.92524237525617e-05
51	0.00285811346736156	7.91667256508246e-05
52	0.00289922401332505	7.90796526287788e-05
53	0.00279817241294464	7.90195984029795e-05
54	0.00270962280663481	7.89710751135339e-05
55	0.00267820517935112	7.89074534840506e-05
56	0.00270689863693655	7.88367598797896e-05
57	0.00264584168683825	7.87861905566331e-05
58	0.00255256942722536	7.87217847488438e-05
59	0.00254745318100326	7.86650409700509e-05
60	0.00257434023032569	7.86239689771541e-05
61	0.00258419133326261	7.85681698555565e-05
62	0.00247162159779264	7.8502176609839e-05
63	0.00230767600774044	7.84483104362052e-05
64	0.00233608628465146	7.84146131181727e-05
65	0.00231881719958316	7.83468578052319e-05
66	0.0022372096590067	7.82963379411388e-05
67	0.00216638931509191	7.82704732274607e-05
68	0.00201741767047789	7.82168904087856e-05
69	0.00210536175187073	7.81515915645342e-05
70	0.00221550324075707	7.81127038456797e-05
71	0.0021389669323958	7.80789877195858e-05
72	0.00204479760882253	7.80164699714649e-05
73	0.0020692870314852	7.79622566527039e-05
74	0.00206909837831347	7.79493081745088e-05
75	0.00207048091866373	7.79727683834206e-05
76	0.00194543499165166	7.79477662094539e-05
77	0.00181600319892668	7.78969528233269e-05
78	0.00173949592020029	7.78334780463267e-05
79	0.00177634956759548	7.78087669352632e-05
80	0.0018079302010703	7.77294431432592e-05
81	0.00175312424513767	7.76880498029114e-05
82	0.00183690543945347	7.76413124790005e-05
83	0.0017399816320601	7.76011128411419e-05
84	0.00171467454632576	7.75560660402626e-05
85	0.00160073862637324	7.75135348472234e-05
86	0.00168537898309222	7.74675548479273e-05
87	0.00171686275853098	7.74316502094957e-05
88	0.00159680171939327	7.7420422588251e-05
89	0.00165502502431852	7.73725962068808e-05
90	0.00159959713973181	7.73601310727776e-05
91	0.00163108371658387	7.73478884829493e-05
92	0.00165674483170253	7.73213551175811e-05
93	0.00155742193128724	7.72940605885821e-05
94	0.0015440171090682	7.72360682644944e-05
95	0.00152703626430166	7.72211438664787e-05
96	0.00158823577491538	7.71924549577292e-05
97	0.00158925830700593	7.71901079526752e-05
98	0.0014999406942433	7.71557424461343e-05
99	0.00149195796704159	7.71254175480296e-05
100	0.00146722343299058	7.71327132836123e-05
101	0.00146123199525623	7.70989880922332e-05
102	0.00136389491780566	7.70551240640824e-05
103	0.0014386193059948	7.70113367590216e-05
104	0.00137645697379479	7.6955169993231e-05
105	0.00130147482939383	7.69253313579372e-05
106	0.00132119248782562	7.68938273057663e-05
107	0.00133504570200145	7.68766561638335e-05
108	0.00127744646195613	7.68626502190729e-05
109	0.00122466040442603	7.68670979881746e-05
110	0.00125802895592554	7.68744773935716e-05
111	0.00125685127030886	7.68882860833231e-05
112	0.0012476811721366	7.68578612745211e-05
113	0.00124927439234986	7.68148639985021e-05
114	0.00130835119967369	7.67542879148789e-05
115	0.0012650706201274	7.67153018657782e-05
116	0.00138148610244656	7.6697568729411e-05
117	0.0014105576652118	7.66610853768825e-05
118	0.00133922258674708	7.66440420305855e-05
119	0.00121843454653029	7.66559060573411e-05
120	0.00122318071241111	7.66730605041581e-05
121	0.00115969968103291	7.66925819074287e-05
122	0.00112054553579495	7.67225009069979e-05
123	0.00115467634834339	7.67154761326087e-05
124	0.00120167540615321	7.66805981493787e-05
125	0.00122627031620101	7.66319019262555e-05
126	0.00122830578300728	7.66049144284733e-05
127	0.00123773988364671	7.65944979480349e-05
128	0.00123215539519278	7.65285075037747e-05
129	0.00114499378153692	7.64725602137555e-05
130	0.00107433565368314	7.64421351576072e-05
131	0.00111647198853316	7.63952795195497e-05
132	0.00106438066127084	7.6379026919975e-05
133	0.00103773238877565	7.63573632268851e-05
134	0.00098312658217246	7.63262645025252e-05
135	0.00104159538269828	7.63375477107462e-05
136	0.00100810490308961	7.63343886650119e-05
137	0.000929849674917093	7.63452702225431e-05
138	0.000977396193231036	7.63296241990554e-05
