setwm_label	lwr_antQ	upr_antQ	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<1.875|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	0.924852810608971	0.924852810608971	5.53194374053114	0.161232120431489	0.00583415850999529	0.000964575314542978	2.82965147391535	0.552340902066196	0.240572186106966	0.109037238988874	0.222493862475372	0.100843396939902	4504
p=1.875-3.83333|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	2.71829665514127	2.71829665514127	4.18651570118033	0.162969279290145	0.0301759515996616	0.00203881683351243	3.9664130499798	0.255604045094579	0.042356584809182	0.124611494573134	0.115137762810007	0.338731008890305	594
p=3.83333-5.8125|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	4.69574275140315	4.69574275140315	3.38417354648829	0.166243884007129	0.0740386685593065	0.00649427821569384	3.54102289834664	0.235946318149988	-0.237907119710954	0.142696178237451	-1.11715063288991	0.670064544611441	161
p=5.8125-7.875|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	6.5605481349372	6.5605481349372	2.5047319522596	0.10875529244861	0.0852387238395642	0.00907226467168988	2.69185847331658	0.264637724488425	-0.244144629658732	0.192168701877491	-1.60172259476253	1.26073201869568	52
p<1.875|antQ0.1-0.2	0.1	0.2	0.147442481394474	0.931098146231298	0.931098146231298	5.77659305755353	0.116161495549973	0.0145851043357276	0.000801061321977342	5.69615667599459	0.707832605186285	0.749797495256245	0.104913832278896	0.69813505788196	0.0976850747489011	4441
p=1.875-3.75|antQ0.1-0.2	0.1	0.2	0.147442481394474	2.72439381291431	2.72439381291431	3.96169886594848	0.233876764428003	0.0538365228783459	0.00270856631995926	7.09230403807433	0.869380402482102	0.311561262994691	0.124132092415379	0.848815577246505	0.338184704560568	702
p=3.75-5.625|antQ0.1-0.2	0.1	0.2	0.147442481394474	4.62536939911078	4.62536939911078	2.68956645448377	0.0669770209022237	0.189173847172205	0.00821295449076641	3.63855989414744	0.12291556759896	0.369652799073219	0.180488162768692	1.70978074512891	0.834824424972032	158
p=5.625-7.625|antQ0.1-0.2	0.1	0.2	0.147442481394474	6.45748350071736	6.45748350071736	2.69798078390492	0.051758344940811	0.1396679593949	0.00876715754221075	2.57930026550374	0.340488388228835	0.733313803409334	0.197244537922935	4.73536178636407	1.27370334924397	57
p<2|antQ0.2-0.5	0.2	0.5	0.326744337939165	1.08200220021042	1.08200220021042	4.211114348516	0.111419201225694	0.024645277396744	0.000789794545796322	8.94301625217694	0.698729740714488	0.82161590474455	0.0756783311555909	0.888990216661482	0.0818841208186025	7226
p=2-4|antQ0.2-0.5	0.2	0.5	0.326744337939165	3.00851230547001	3.00851230547001	2.79851548057533	0.0974707208837434	0.133847267334662	0.00672431989455845	4.94953698968207	0.281290049023926	0.630515855784714	0.105239750379135	1.89691471092226	0.31661508404022	1015
p=4-6.09375|antQ0.2-0.5	0.2	0.5	0.326744337939165	4.98895146554529	4.98895146554529	2.56877384477775	0.147381995915638	0.329312484633334	0.0331422717586717	3.69389239163576	0.354508975193297	0.554095613502514	0.12198052166764	2.76435612303559	0.608554902341751	305
p=6.09375-8.3125|antQ0.2-0.5	0.2	0.5	0.326744337939165	7.01938515081207	7.01938515081207	2.19402566111418	0.0117374308005931	0.575292304854925	0.00584727709177527	3.29285232044321	0.126659849164902	0.990740322432951	0.154034609510413	6.95438790759661	1.08122825070853	91
p<1.875|antQ0.5-1	0.5	1	0.700732390774238	1.02018404777742	1.02018404777742	3.59744367114885	0.201658611722897	0.0387068490321386	0.00169008006658948	9.13396443525812	0.539707046366843	1.159630115843	0.144280727383062	1.18303614550531	0.147192896477922	2423
p=1.875-3.75|antQ0.5-1	0.5	1	0.700732390774238	2.77161903419923	2.77161903419923	2.55058399073285	0.152664178201993	0.194897459730493	0.0122743497328631	5.46356653407899	0.483921450765617	0.951206433206226	0.146102077192231	2.63638185572713	0.404939298082033	592
p=3.75-5.625|antQ0.5-1	0.5	1	0.700732390774238	4.67570019639655	4.67570019639655	2.10219811632672	0.0128715232333188	0.450716680581713	0.00444906730915495	3.54994400348321	0.0592211734417574	1.02083389976538	0.157813002113733	4.77311326562126	0.737886284977112	218
p=5.625-7.5625|antQ0.5-1	0.5	1	0.700732390774238	6.55069524861485	6.55069524861485	2.04145490873335	0.0104500730856652	0.770791236386056	0.00756412288163697	2.81824290691766	0.0335981919768213	0.359974128650393	0.205286605083037	2.3580808141744	1.34476998852172	74
p<2.3125|antQ1-20.2	1	20.18325015	2.14171186822828	1.36409728225632	1.36409728225632	2.75192097148354	0.0916437381032375	0.0927583758478585	0.00300425670526777	7.26568892000684	0.538060121573425	1.1858609317036	0.192744580507805	1.61762967407083	0.262922358440331	1558
p=2.3125-4.66667|antQ1-20.2	1	20.18325015	2.14171186822828	3.46518721550585	3.46518721550585	2.25400005099386	0.212069955830508	0.329733235232707	0.0282002950976966	3.90025471753875	0.302000232519327	0.288746782415471	0.0804667512727701	1.00056165894454	0.278832357783692	683
p=4.66667-7.125|antQ1-20.2	1	20.18325015	2.14171186822828	5.80415821193348	5.80415821193348	1.99639257478976	0.00713490334420766	0.794146244626089	0.00460699522308531	3.46690912361463	0.0775292689284034	1.36349696530607	0.104182492854581	7.91395210812762	0.604691671441615	230
