lagtime	RRD_p|all	se_p|all
0.333333333333333	0.000804009609180763	6.74141624301509e-05
1	0.000718528947869779	6.57241765511538e-05
2	0.00137726901721706	9.32100296815957e-05
3	0.00230168789773842	0.000115742692956495
4	0.00324983204211302	0.000133703324633233
5	0.00450479118358673	0.00014785232230869
6	0.00641542768275678	0.000159122081110967
7	0.00876942340662446	0.000168184361481667
8	0.0110667294005634	0.000175478740007705
9	0.0129913991037496	0.000181449272451249
10	0.0142269836820897	0.000186308156025328
11	0.0147656575422889	0.000190186455097896
12	0.0146934094606508	0.000193326690043662
13	0.0142050265448418	0.000195973399429333
14	0.0134696371876078	0.000198255903414634
15	0.0124322668202113	0.000200231455031127
16	0.0114578647126566	0.000201913843707662
17	0.0105760731532185	0.000203351241480162
18	0.00989106045516535	0.000204596636434603
19	0.00922097814805987	0.000205685900880742
20	0.00846417938188495	0.000206664825812287
21	0.0078486961752026	0.000207543205604418
22	0.00731410604006142	0.000208325997414326
23	0.00681068080478085	0.000209025533641514
24	0.00634675309204475	0.000209675332786471
25	0.00599492515870257	0.000210272067767877
26	0.00579059920547823	0.000210832445709045
27	0.00566075064447987	0.000211340448753856
28	0.00557760569509856	0.000211843742982045
29	0.00539742077096834	0.000212328337757595
30	0.00520381894982405	0.000212792482936914
31	0.00496273421848832	0.000213245323485057
32	0.00468480173193039	0.000213674108322739
33	0.00443200863177532	0.000214071468662298
34	0.00417467637414602	0.000214445811690113
35	0.00399068392680625	0.000214801560496545
36	0.00383836612561016	0.000215120386824428
37	0.0036382894290537	0.000215410467893117
38	0.00343369154233076	0.000215663431980231
39	0.00324329899032281	0.000215879185826907
40	0.00309759768744201	0.000216070147529453
41	0.00295146937193657	0.000216243975184018
42	0.00283940678950285	0.000216417826051093
43	0.00277255725615249	0.00021658624042552
44	0.00271010167153055	0.000216725790055895
45	0.00264669551771259	0.00021685049340359
46	0.00252389783030258	0.000216978228652853
47	0.00250165963251083	0.000217102475484355
48	0.0024265154920948	0.000217224573885462
49	0.00237668993363931	0.000217344671474587
50	0.00239649896959068	0.00021744336593266
51	0.0023700081162981	0.000217522376235569
52	0.00234845798905965	0.000217589361786245
53	0.00232263027390176	0.000217607092660685
54	0.00232800448460602	0.000217524256512703
55	0.00233031041938241	0.000217418642890578
56	0.00233807794588685	0.000217277074075606
57	0.00234906520678706	0.00021712454859454
58	0.00235144701641036	0.000216969148158962
59	0.00232555745205089	0.000216803161103382
60	0.00230684396572452	0.000216644798158531
61	0.00225873676632661	0.000216498435929379
62	0.00215699184279722	0.000216359775968869
63	0.00214322109658274	0.000216235129419072
64	0.00210026094927395	0.000216117235089406
65	0.00196686742866425	0.000216024036354177
66	0.00197307245615849	0.00021596175725146
67	0.00196691349204036	0.000215926100449802
68	0.00189661066531305	0.000215909597036378
69	0.00179293140240196	0.000215907062575973
70	0.00182705086252487	0.000215916386801648
71	0.00189367498071371	0.000215928614213081
72	0.00192209326008602	0.000215939846165494
73	0.00191016912139995	0.000215948716537858
74	0.00198675761008392	0.000215949462602235
75	0.00213436191052556	0.000215956369652088
76	0.00224021732208503	0.000215991255794416
77	0.00221192728354834	0.0002160386694479
78	0.00218240681164223	0.00021606494691829
79	0.00220283392339838	0.000216072483349839
80	0.00223026383753657	0.000216104726830861
81	0.00223397629782113	0.000216160236171853
82	0.00218819530788728	0.000216239826797619
83	0.00212700970482148	0.000216335792938427
84	0.00207137478713062	0.000216434263669995
85	0.00204000017047422	0.000216530957070917
86	0.00203298835973747	0.000216628101943863
87	0.00195648528502589	0.000216734119356944
88	0.0018370212892017	0.000216800329695427
89	0.00169996547138287	0.000216849249646916
90	0.00154484508597332	0.000216903145641551
91	0.0014781067834961	0.000216940069971765
92	0.00150212490901373	0.000216979434525032
93	0.0015185257179358	0.000217039497163782
94	0.00148633879773816	0.000217132162052857
95	0.00138224445234693	0.000217262532758498
96	0.00133425018841662	0.000217433970105119
97	0.0013041846725119	0.000217633542079799
98	0.00121676582867883	0.000217844707961465
99	0.00118520960059727	0.000218038932604613
100	0.00118710476147606	0.000218187359682161
