setwm_label	lwr_antQ	upr_antQ	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<2.525|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	1.21695435040405	1.21695435040405	5.29405488577057	0.186230698412449	0.00880471396451136	0.000582690507434487	5.38171090564246	0.628140537941146	-0.0752370881350962	0.0449028612939341	-0.0915601017177381	0.0546447323972427	15067
p=2.525-5.08333|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	3.64688008576374	3.64688008576374	3.92704151979266	0.0605394193807489	0.0562365528302491	0.00190990212131457	3.98086024559389	0.14000286153509	0.0123642511770909	0.0602965920629929	0.0450909413931137	0.219894440833948	1313
p=5.08333-7.6875|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	6.02575828691825	6.02575828691825	3.21522727471938	0.131637897991381	0.118864742680504	0.00792346862399956	3.21261201427277	0.130581306722336	0.0202017003096167	0.0872449067146621	0.121730563050512	0.525716719627284	264
p=7.6875-10.375|antQ0.00876-0.1	0.00875866	0.1	0.0624051851932347	8.61257146260124	8.61257146260124	2.57886148458428	0.0702899494624078	0.21623282859453	0.0162115485852522	2.56836482086784	0.129967805775629	-0.199422468877672	0.123898289510956	-1.71754026445732	1.06708287250716	67
p<2.375|antQ0.1-0.2	0.1	0.2	0.147442481394474	1.13692354628341	1.13692354628341	4.99305090082667	0.121302520674973	0.0180974779162741	0.00074952249070814	6.91581350524084	0.619905653477979	0.524238487537516	0.0473817727134382	0.596019080349405	0.0538694530625569	14627
p=2.375-4.75|antQ0.1-0.2	0.1	0.2	0.147442481394474	3.35942787790981	3.35942787790981	3.51131195985446	0.119374627367592	0.096686347270807	0.00468383375769108	4.53264368136187	0.186340226417611	0.519797088959586	0.0617820461053086	1.7462208315072	0.207552328040483	1647
p=4.75-7.125|antQ0.1-0.2	0.1	0.2	0.147442481394474	5.7753864441793	5.7753864441793	2.84507978829478	0.0537982004498487	0.296047110458524	0.00996872328738486	3.45463975693966	0.160573309289558	0.410152198370994	0.0916196529750752	2.36878744652218	0.529138901812661	308
p=7.125-9.625|antQ0.1-0.2	0.1	0.2	0.147442481394474	8.06319669183747	8.06319669183747	2.68673319334786	0.0678704516837459	0.377447075608514	0.0275269713524344	2.77403736398858	0.223197157063498	0.170011274076122	0.117390396891226	1.37083434270566	0.946541859866824	71
p<2.9125|antQ0.2-0.5	0.2	0.5	0.326744337939165	1.38093948701184	1.38093948701184	4.02191138854307	0.052711974578048	0.0396630867300946	0.000568791956005365	7.81830900140421	0.502570737864351	0.674121401660803	0.031394269317788	0.930920862593169	0.0433535861668176	23468
p=2.9125-5.83333|antQ0.2-0.5	0.2	0.5	0.326744337939165	4.10941937630639	4.10941937630639	3.18224613052819	0.140093471241922	0.234869866414571	0.0198014887256113	4.32404011538448	0.308872694155666	0.692012557783539	0.0427541473548486	2.84376981360302	0.175694721557474	2327
p=5.83333-8.8125|antQ0.2-0.5	0.2	0.5	0.326744337939165	6.96439926480072	6.96439926480072	2.70906150846476	0.121223920591291	0.621679356090455	0.0600499883285494	3.42242429372527	0.310509500463676	0.62806845568627	0.062951293065908	4.37411949102599	0.438417939146465	398
p=8.8125-12|antQ0.2-0.5	0.2	0.5	0.326744337939165	10.0143611139037	10.0143611139037	2.25533149259955	0.0065226257654583	1.03762617662569	0.00620520774032027	2.78068073296589	0.121414491247962	0.944206597076932	0.109125341847569	9.45562582925855	1.09282057993974	72
p<2.5625|antQ0.5-1	0.5	1	0.700732390774238	1.37381282305996	1.37381282305996	3.34610776061322	0.111212929177791	0.0675388849915472	0.00254270796515591	7.52275973569349	0.344371910831613	1.03102261363253	0.0488923592941828	1.41643208747316	0.067168950148003	9740
p=2.5625-5.16667|antQ0.5-1	0.5	1	0.700732390774238	3.81072947539392	3.81072947539392	2.67836399236141	0.135230906091527	0.329517083578126	0.0269133860618001	4.44094813930812	0.368457575841395	0.914950386965526	0.057901670978146	3.4866284081326	0.220647604270981	1587
