lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00099299753966116	0.000176430547134565
1	0.0113543748786541	9.39992493188479e-05
2	0.0378576130798072	9.99500249523101e-05
3	0.0382550652522235	0.00010293148532139
4	0.0319879223615836	0.000104115079061272
5	0.0264346138728093	0.000104162527835444
6	0.021855008635915	0.000103802275062081
7	0.0184604456230483	0.000103413377495533
8	0.0158785817368838	0.000102793599070741
9	0.0140870749885222	0.000102054251985129
10	0.0125461419692843	0.00010129257023279
11	0.0112403984410909	0.000100510520343165
12	0.0104697355172999	9.97491180374829e-05
13	0.00973591831637348	9.90547929753515e-05
14	0.00904708074178834	9.84035252500553e-05
15	0.00841168130115018	9.78044384314898e-05
16	0.00807192843507587	9.73018454597106e-05
17	0.00781641683432854	9.68747470837741e-05
18	0.00733224686623	9.64535014403845e-05
19	0.00703140857360253	9.60163507298448e-05
20	0.00685440323159303	9.56120263259146e-05
21	0.00661919240978075	9.52863830303043e-05
22	0.00636354916394262	9.49734024904889e-05
23	0.00591563253075102	9.46950427376472e-05
24	0.0058398818093262	9.44203638670385e-05
25	0.00563650059079939	9.41511645544201e-05
26	0.00542105661950382	9.39867739801527e-05
27	0.005333762919921	9.3757388883913e-05
28	0.00516315815231027	9.35306797697057e-05
29	0.00506542002801763	9.3335853380402e-05
30	0.00484460479706525	9.31978018441557e-05
31	0.00465233383135987	9.30198647068615e-05
32	0.00450999274513034	9.28092864388988e-05
33	0.0044121383876571	9.26644535097325e-05
34	0.00430991109637709	9.25390331474962e-05
35	0.00442868412441121	9.24112417287751e-05
36	0.00438638796441933	9.23238342902616e-05
37	0.00427666828120123	9.22323406109608e-05
38	0.00411402089397338	9.21533384561594e-05
39	0.00395197879286375	9.20624013982528e-05
40	0.00385938128676821	9.1949047076415e-05
41	0.00378827877800502	9.18834252416176e-05
42	0.00369555701532162	9.18127166384113e-05
43	0.00368174931776155	9.16930002998515e-05
44	0.00345120027019131	9.16295743947806e-05
45	0.00352554369457591	9.15513260301859e-05
46	0.00361364711621303	9.15152027868097e-05
47	0.0035307761238933	9.14415415571374e-05
48	0.00336454063976897	9.13971284045374e-05
49	0.00331180235457738	9.13329955818307e-05
50	0.00322812795052464	9.1230079505036e-05
51	0.00320318484201682	9.11655923641015e-05
52	0.0032015052009981	9.11040975896426e-05
53	0.00312380060915319	9.10663052963359e-05
54	0.00312107970058749	9.10030378609412e-05
55	0.00297070140849531	9.09063996440602e-05
56	0.00300989945403917	9.08181823509828e-05
57	0.00301551402388076	9.07988185073499e-05
58	0.00298392515322305	9.07512526568741e-05
59	0.00297067854048699	9.06749565063145e-05
60	0.00295607290353704	9.06038732998097e-05
61	0.00298488341564634	9.0566155940009e-05
62	0.00288043463719885	9.05261344993682e-05
63	0.00274342817513795	9.04376878035898e-05
64	0.00280986401024778	9.03858528706847e-05
65	0.00268524261274201	9.03363603384314e-05
66	0.00271208733301883	9.02830600044454e-05
67	0.00261597244417319	9.02563705889575e-05
68	0.0024490868702626	9.01994977537159e-05
69	0.00250129523678346	9.01387186107035e-05
70	0.00258144840255032	9.01129789921948e-05
71	0.00260026600004485	9.00918607359372e-05
72	0.0024994748909085	9.00538461289438e-05
73	0.00254639550155357	9.00058497367316e-05
74	0.00251547646357399	8.99844810180001e-05
75	0.00259360784420923	9.00041648500889e-05
76	0.00256651463555151	8.99567082154621e-05
77	0.00238130268434752	8.9916064452762e-05
78	0.00235721699861206	8.98651715999735e-05
79	0.00231596825004761	8.9811275036776e-05
80	0.00238586395038955	8.97439874439821e-05
81	0.00234487204083397	8.96854359968467e-05
82	0.00235574127946653	8.96384128361789e-05
83	0.00226005196865928	8.9593136694675e-05
84	0.00224357500073779	8.9522306400113e-05
85	0.00219780879462926	8.94535967735719e-05
86	0.00230143084007699	8.93834520849988e-05
87	0.00231767344127103	8.93544985343046e-05
88	0.00219040646049942	8.93126022411177e-05
89	0.00230911803758796	8.927499104702e-05
90	0.00230304303512452	8.9246169386514e-05
91	0.0022546344448705	8.92075932671063e-05
92	0.00238101721419694	8.91534664630178e-05
93	0.00226209153488042	8.9106467975333e-05
94	0.0022740717685938	8.90223280369231e-05
95	0.00225488855931287	8.897881742744e-05
96	0.00231723062620897	8.88841260453255e-05
97	0.00243053747505925	8.88412128586729e-05
98	0.00237194183232329	8.87168321755743e-05
99	0.00246351269646996	8.84398921854258e-05
100	0.00268051398066777	8.79377364100289e-05
