lagtime	RRD_p|all	se_p|all
0.333333333333333	0.00106103050918452	3.63834230436481e-05
1	0.00197232856129694	3.01478249500727e-05
2	0.00289044699710333	4.0496437776212e-05
3	0.00422776556962177	4.94145343942894e-05
4	0.00469458595427803	5.71748468922291e-05
5	0.00441108061203232	6.39295641517804e-05
6	0.00412419692927142	6.97575862973489e-05
7	0.00402638082567613	7.4767883207143e-05
8	0.00413393235976541	7.90848016141128e-05
9	0.00448461123371948	8.2857022582141e-05
10	0.00496829525778089	8.61299424565997e-05
11	0.00533222305571012	8.89733712042283e-05
12	0.00562260983683968	9.14912556266502e-05
13	0.00573535326223292	9.37084173215945e-05
14	0.00567262858597606	9.56593555175395e-05
15	0.00565425675685407	9.73756773397653e-05
16	0.00559154166053124	9.888311475423e-05
17	0.00548928898685505	0.000100212516905788
18	0.00527519850290833	0.000101380934629623
19	0.00513579884927971	0.000102398134420368
20	0.00501464416241888	0.000103305774095332
21	0.00491420098085796	0.000104103730976471
22	0.00475502308250876	0.000104804127712242
23	0.00460373720481486	0.000105419807706636
24	0.00444641747430048	0.000105937353231501
25	0.00421972929348394	0.00010637513392689
26	0.00403113021068397	0.000106745744372798
27	0.00390198703704103	0.000107063305472042
28	0.00386085674880246	0.000107342471873442
29	0.00376445422429447	0.000107592893440843
30	0.003697343625385	0.000107820530892625
31	0.00368394570594735	0.000108012324110071
32	0.00361530018557227	0.000108151791928952
33	0.00356833770943491	0.000108268603413185
34	0.00343549020432841	0.000108360842327513
35	0.00328086982931543	0.000108427481377803
36	0.00321915629207402	0.000108472604988467
37	0.00316011757985503	0.00010850090226617
38	0.00310295130309098	0.000108530314191956
39	0.00308252323630314	0.000108546570877313
40	0.00302951924963467	0.000108562405534594
41	0.00295522219111748	0.000108571677712829
42	0.00283921447440208	0.000108576959497112
43	0.00271060638172605	0.000108594294357522
44	0.00262327735738199	0.000108626361077952
45	0.0025234270622246	0.000108673726264052
46	0.00245328777303375	0.000108733887832537
47	0.00233842138004014	0.000108795974175064
48	0.00224103861798368	0.000108859588166553
49	0.00215038913871709	0.000108921109840301
50	0.00207901316346736	0.000108979402512838
51	0.00199415610913138	0.000109046479227927
52	0.00193364805715047	0.000109092156526511
53	0.00188514927473414	0.000109144999113461
54	0.00186848029172366	0.000109189112996157
55	0.00185019770456663	0.000109231370897149
56	0.0017503338947615	0.000109277108567591
57	0.00173822719086295	0.000109325386737556
58	0.00171324068191646	0.000109367516035824
59	0.00161353667879197	0.000109404083490297
60	0.00151532233071279	0.000109435840861497
61	0.00141994967687494	0.000109462497630529
62	0.00135454980790584	0.000109484789214528
63	0.00128960504089768	0.000109501033358091
64	0.00125293500434188	0.000109514394208775
65	0.0012590220081469	0.000109529294233594
66	0.00132200028095219	0.000109544310497607
67	0.00131791837720029	0.000109561456791033
68	0.00126928593553843	0.000109581032764563
69	0.00124925721943681	0.000109600461352826
70	0.00120805384178603	0.000109622707602381
71	0.00117901750713329	0.000109647794391567
72	0.00115836784765263	0.000109672932318811
73	0.00109688682829583	0.000109695546521684
74	0.00105455083206372	0.000109713314276481
75	0.00104249480276614	0.00010973070557993
76	0.00106972598865379	0.000109747416167665
77	0.00109843241064763	0.000109761754801967
78	0.00106473548046326	0.000109775038365427
79	0.0010196844011245	0.000109793049540859
80	0.000974792868784969	0.000109816518800525
81	0.000953610285585501	0.000109842925477625
82	0.000969991763854529	0.00010986969301882
83	0.000935742201658656	0.000109895198192974
84	0.000874458861555387	0.000109920698809054
85	0.00083516398136212	0.0001099421698652
86	0.000813953311204458	0.000109973865692857
87	0.000781875138730226	0.000110004632852849
88	0.000742165210642684	0.000110051088028711
89	0.000769752162314931	0.000110105006765175
90	0.000872568846780849	0.000110159150739184
91	0.000891082211279049	0.000110210333052746
92	0.000887957725969793	0.000110265067023849
93	0.000870722745616108	0.000110317542611654
94	0.000933558557656564	0.000110368363838452
95	0.000920511879545213	0.000110417570272943
96	0.000924813546706993	0.000110460259680782
97	0.000861498023700624	0.000110498032927947
98	0.000818198715065931	0.000110529806448828
99	0.000782924506465503	0.000110557806808646
100	0.000772648526435477	0.000110586187737869
101	0.000739212250638859	0.000110614168161219
102	0.000681643787111554	0.000110635323816078
103	0.000647463487080308	0.000110648246992748
104	0.000651671693090589	0.000110658729033998
105	0.000641726596267198	0.000110670371643325
106	0.000628809605616856	0.000110677650101893
107	0.000590688536589455	0.000110681766650271
108	0.000576534233473685	0.000110683193125577
109	0.000584434615693591	0.000110691848572756
110	0.000562918065903557	0.000110688324575586
111	0.00054438741142483	0.000110698646619205
112	0.000538494027725141	0.000110726075593011
113	0.000565718446622905	0.000110764762341742
114	0.000559863564685002	0.000110810977334703
115	0.000541983283898384	0.000110861711210195
116	0.000511901711175016	0.000110912185367091
117	0.000498226203720079	0.000110953893406937
118	0.000476821282687165	0.000110982784353237
