lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
35	0.00181228235808785	0.000235224821375843	0.00162773226080687	0.000298897703681716
36	0.0012855218182492	0.00023500986636449	0.0011305530199382	0.000298722641331469
37	0.00114460429577355	0.000234675220394507	0.00112437925649167	0.000298568608236096
38	0.00104803729723715	0.000234315919382481	0.00118587735556883	0.000298449368607798
39	0.00107371650272139	0.000234071112638257	0.00119871299404238	0.000298309482327799
40	0.000943806169452922	0.000233828727384877	0.000939095311597585	0.000298130069304628
41	0.000680945325705346	0.000233562640438831	0.000814612406360891	0.000297920714892716
42	0.000698380452990845	0.000233282055888944	0.000931951277478775	0.000297699345205736
43	0.000697626906825182	0.000233020948592083	0.000927247368477014	0.00029746915338962
44	0.000906647151780761	0.000232809623043711	0.000979340134584463	0.00029736337645533
45	0.00085810194649847	0.000232701552461348	0.00103688104288893	0.000297313115023432
46	0.000899395919772052	0.000232619664032195	0.00108031122678441	0.000297237800726606
47	0.000680844103235687	0.000232552562790392	0.000755368883866741	0.000297200657276156
48	0.000665676833154134	0.000232484370491476	0.000583118414663077	0.000297174472342906
49	0.000729312015101417	0.000232405143050347	0.000567623006399047	0.000297143929061358
50	0.000901924793065444	0.000232361352375805	0.000847425896626544	0.00029709274394511
51	0.000894069657900094	0.000232083400838911	0.000898952975836317	0.000297012342316792
52	0.000997792528729488	0.000231799844093482	0.00112043799278183	0.000296948113210489
53	0.00112499373250972	0.000231572427151464	0.00139878293023838	0.000296917094317721
54	0.000973080028955248	0.000231346422847972	0.00136593153896851	0.000296812644639557
55	0.000968702199276506	0.000231218535929589	0.00127482363574246	0.000296755825799432
56	0.000946518919890542	0.00023116619662	0.0011528173078582	0.000296727814664179
57	0.000907048848266933	0.000231090140797856	0.000956787031800256	0.000296673085727631
58	0.000779766637251513	0.000230967661627393	0.000839602176562548	0.000296565829102695
59	0.000669286655969151	0.000230862995395978	0.000743768341507882	0.000296453420918434
60	0.000491528524562569	0.000230802379791331	0.000539576950163536	0.000296372822184607
61	0.000390397799305108	0.000230830255090353	0.000455595871565017	0.000296324633662455
62	0.000393061136489997	0.000230764359519826	0.000570164702473009	0.000296271627251437
63	0.000347381095208679	0.000230640742244844	0.000494562136042381	0.000296226759985868
64	0.000342351380407355	0.000230527289360815	0.00049708186130648	0.000296241022847255
65	0.00045028103147706	0.000230341683560235	0.000722569907397401	0.000296216868832594
66	0.000507542973103527	0.000230249574613082	0.000652574204921593	0.000296216184520121
67	0.000695451849872522	0.000230097046102271	0.000711240057598958	0.000296139870279408
68	0.00044542880196133	0.000230003442427441	0.000471045534089742	0.00029608754802125
69	0.000266909089435529	0.000229944727284787	0.000454422409617453	0.000295997983533617
70	0.000432701756691158	0.000229937378544279	0.000699083112878822	0.000295982672829952
71	0.000637645276815682	0.000229997622639533	0.00100454288558825	0.000295997663458524
72	0.000718637566548387	0.000230027830534147	0.000981611541308259	0.000295917216238647
73	0.000784268576718935	0.00023005138665573	0.000865714527744104	0.000295861179841222
74	0.000565283929761124	0.000230004723198872	0.000579551358867002	0.000295800409175091
75	0.000359942543473605	0.000229948788597699	0.000494409778872287	0.000295751546194985
76	0.000566348870743072	0.000229905178461	0.000881584990145661	0.00029571163086413
77	0.000865047284555035	0.000229880062787383	0.00114715882889291	0.000295734783541394
78	0.000783514303277088	0.000229870085005879	0.00110350719263548	0.000295745003727608
79	0.000831186597171502	0.000229865576044711	0.00114370249350909	0.00029576233160253
80	0.000656092747981467	0.000229844613131655	0.000869327770107599	0.000295712636650797
81	0.000308112086387051	0.000229875454992975	0.000304510291292138	0.000295775913036513
82	0.000221345338134094	0.000229909518062294	0.000343532290504516	0.00029577085547108
83	0.000193439801629419	0.000229937159820152	0.000344737799790682	0.000295811187396657
84	2.37373034075633e-05	0.000230003040172485	7.78348783852418e-05	0.000295815193698049
85	0.000310093198054988	0.000230122314474875	0.000400504096063249	0.000295893336631553
86	0.000836044706094037	0.000230287489492209	0.000743761562655535	0.000295986848851208
87	0.000644344595881889	0.000230406420438621	0.000470458395747981	0.000296058161877298
88	0.000437129593110353	0.000230458028173465	0.000618390600322468	0.000296169584873534
89	0.000391464515002256	0.000230459945508782	0.000533344080814488	0.00029628893397221
90	0.000570159362757429	0.000230439051282959	0.000411884204685293	0.000296389346465547
91	0.000761854370801695	0.000230403380097866	0.000417691047974531	0.000296424923375824
92	0.000727758324019467	0.000230394967198711	0.000620335342621317	0.000296487640782157
93	0.000600004061331957	0.000230371574351337	0.0006240810191951	0.000296517539847625
94	0.000410707363724403	0.00023034677560619	0.000587701494988644	0.000296509922281015
95	0.000311651485129385	0.00023029341905611	0.000609564132005988	0.000296419427183729
96	0.00052366044935303	0.000230275444494651	0.000811714022368469	0.000296321520011661
97	0.000651780961401344	0.000230239900917631	0.00097411782444581	0.000296204679690236
98	0.000476511321929203	0.00023013370004856	0.00077181828270274	0.000295833939176014
99	0.000422290541348313	0.000229850445748179	0.000595886772917153	0.0002948145155535
100	0.000455743684888069	0.000229042485861137	0.000616314139940069	0.000292762560804342
