lagtime	RRD_p|all	se_p|all	wtd_avg_RRD_p|all	se_p|all
90	0.00101446858768559	0.000101674713977141	0.0010609211276105	0.000122702019228318
93	0.00093875008500098	0.00010169314859641	0.00092787374026716	0.000122820161451561
96	0.000866405631060301	0.000101704929249696	0.000788796862945851	0.000122911814192652
99	0.000838576820464826	0.000101712087630828	0.000745843203816586	0.00012296633230605
102	0.000825172877821381	0.000101712678724827	0.000798241936498303	0.000122951489831495
105	0.000792060077884543	0.000101717104396208	0.000763819239504875	0.000122928834970064
108	0.000722929378309033	0.00010172248931811	0.000673374893056859	0.000122936661293848
111	0.000705274860454999	0.000101715828775035	0.000609136964396643	0.000122902858992429
114	0.000673276317381782	0.000101700638748092	0.000642933686522967	0.000122871042231188
117	0.000694804710902612	0.000101682424207217	0.00069124226759663	0.000122857562106807
120	0.000653312612039245	0.000101669253779058	0.000691745932365068	0.000122869474053965
123	0.000607295888256627	0.000101655653259305	0.000662856839266543	0.000122868996803382
126	0.000603354950886655	0.000101636770996668	0.000637884758979145	0.000122863889531015
129	0.000598349263262969	0.00010161948782912	0.000678954765466824	0.00012283837782678
132	0.000526068518339578	0.000101614817366096	0.000573932389675384	0.000122862611094588
135	0.000545160267367394	0.000101616983774177	0.00052387622842886	0.000122877906316926
138	0.000581179689027665	0.000101609749005607	0.000555220629801082	0.000122875952414744
141	0.000660278143631311	0.000101594864161248	0.000710441767783079	0.000122815878846907
144	0.000619413953439495	0.00010157678090499	0.000626726912353296	0.000122747486408931
147	0.000632627766532965	0.000101549935522609	0.000504746901218901	0.000122689668035585
150	0.000743096850949803	0.000101507898112763	0.000516868695924685	0.000122676017181505
153	0.000668655238356173	0.000101457670899935	0.00056566528988059	0.000122652311565121
156	0.000630494239706582	0.000101408189118008	0.000613770874423918	0.000122598953682814
159	0.000603455772186976	0.000101378037242116	0.000581262914947868	0.000122563206228457
162	0.000639424051153433	0.000101354060415049	0.000615151006849275	0.000122523117668939
165	0.000681954441361232	0.000101334135356205	0.00063475951560773	0.000122479883961937
168	0.000612415889298032	0.000101324269282444	0.000631650100362776	0.000122458354949825
171	0.000514421188712882	0.000101335486599167	0.000546493582062725	0.000122453150748722
174	0.000523142573060198	0.0001013720815038	0.000590365778433478	0.000122442101689457
177	0.000508494885701814	0.000101416641979475	0.000551167832349123	0.00012246923147519
180	0.000464656570077748	0.000101436464277795	0.00047216738468933	0.000122512368840603
183	0.000462669415966795	0.000101454826139941	0.000456930474392928	0.000122568792685334
186	0.00046873176825066	0.000101489468802523	0.000406396442907355	0.00012261168455209
189	0.000542894597002446	0.000101536088071676	0.000420399961959185	0.000122659616506371
192	0.000611099574151143	0.000101558684694942	0.000469243185589091	0.00012269956266399
195	0.000671846839795039	0.000101623415075311	0.000503882803255283	0.00012276863571113
198	0.000674636504638781	0.000101731581006685	0.000499229900176045	0.000122842970832592
201	0.000735475055441149	0.00010180755291658	0.000470561327816972	0.000122865886550564
204	0.000778032519771817	0.000101849829041646	0.000588195767802694	0.000122905469021532
207	0.000731420794447732	0.000101873163432457	0.000515183404514853	0.000122921182581571
210	0.000663180255001941	0.000101897767616632	0.000469208985772332	0.00012291782333697
213	0.000562520811136581	0.00010191411344415	0.000498462350860589	0.000122930637086289
216	0.000505582728536749	0.000101953195911926	0.000526667803728016	0.000122930485287465
219	0.000478906038822361	0.000101990609461817	0.000484020691681647	0.000122907409458949
222	0.000470769296213777	0.000102023229582082	0.000461106642707515	0.00012290341895676
225	0.000447068234008051	0.000102055294947224	0.000517932460819786	0.000122901998370863
228	0.000440179327088505	0.000102082570314861	0.000582625601800672	0.000122896807622717
231	0.000509167407013277	0.000102111730472365	0.000681263511795698	0.000122912389788116
234	0.000584781262852941	0.000102146819848947	0.000622173655798051	0.000122911037643255
237	0.000523363987715485	0.000102173626984376	0.000494214371169543	0.000122866723808851
240	0.00045497550766825	0.00010220548035904	0.000327004950440747	0.000122862707617893
243	0.000392968995464266	0.000102232795632146	0.000416342914283255	0.00012287195399587
246	0.000419863196733649	0.000102242106170046	0.000541039621395669	0.000122819923035177
249	0.000479981348264069	0.000102243770177201	0.000546716885529791	0.000122788052961238
252	0.000490298163726816	0.000102251648753606	0.000487397388673254	0.00012279447934999
255	0.000423947859205026	0.000102261678699344	0.000464675035403713	0.000122807040459567
258	0.000463884803258627	0.00010227439008005	0.000439417975959899	0.000122849738566916
261	0.000451264761090796	0.000102277899476404	0.000478461789712721	0.000122855592515915
264	0.000447364186211351	0.000102264858221058	0.000479696588173144	0.000122823541249674
267	0.000485750372635612	0.00010223929428136	0.000479868395468668	0.000122792220879553
270	0.000396910293970946	0.000102232113886218	0.000344904643789519	0.00012279979175552
273	0.000437400388050738	0.000102228240667006	0.000385625441297295	0.000122824508304459
276	0.000498506248913685	0.000102235172001864	0.000490886126719366	0.000122799699382726
279	0.000510864848453	0.000102226265962718	0.000578958886814895	0.000122775289383034
282	0.000444554087759515	0.000102214870444952	0.000500898055386244	0.000122707735169377
285	0.000454683426184692	0.000102213763902318	0.000506388884451912	0.000122664141308277
288	0.000569948060318284	0.000102207855036809	0.000774074586168729	0.000122638627952471
291	0.000565779442854093	0.000102203545691233	0.00082030008354601	0.000122661852494869
294	0.000432630271884568	0.000102173346199146	0.000627444801105427	0.000122627019519547
297	0.000337679560925635	0.000102150030980903	0.000495197390303455	0.000122562037822143
300	0.000346335360094076	0.000102069565474746	0.000573812455898245	0.000122402369041676
