setwm_label	lwr_antVPD	upr_antVPD	mean_antVPD	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<2|antVPD-0.0951-0.0315	-0.095080156	0.0315	0.0187072709865114	1.07739066733521	1.07739066733521	6.49288474236677	0.219453979893608	0.0174154414793943	0.000563817613491911	15.4164331341517	0.996393199177379	0.594483508112696	0.00803748845196229	0.640490983525316	0.00865951504695872	18960
p=2-4|antVPD-0.0951-0.0315	-0.095080156	0.0315	0.0187072709865114	3.02473125636282	3.02473125636282	3.96661966674543	0.245777338660638	0.14152131116846	0.0110412372115762	8.42913901749598	0.716602469804823	0.704494479112355	0.00614321691282848	2.13090647090618	0.018581580210849	3423
p=4-6|antVPD-0.0951-0.0315	-0.095080156	0.0315	0.0187072709865114	4.98889984994164	4.98889984994164	3.20875712251751	0.205039522254879	0.34751393418962	0.0354829379806548	5.47096877800104	0.505071103706198	0.692944194963402	0.00601914430371997	3.45702919027085	0.0300289081136056	1099
p=6-10|antVPD-0.0951-0.0315	-0.095080156	0.0315	0.0187072709865114	7.53644110248977	7.53644110248977	2.56411484388585	0.158555910930485	0.855842268638907	0.103138151068053	3.5748602977486	0.400053759550023	0.713920927528602	0.0062188402285239	5.38042302215417	0.0468679231080644	371
p<2|antVPD0.0315-0.0576	0.0315	0.0576	0.0441317715024366	1.12829217010713	1.12829217010713	7.73202615721595	0.822928028102004	0.0163355982887317	0.000834550415406883	26.7383443938776	0.72364301572457	0.609732028025513	0.00763911899090116	0.687955873084728	0.00861915814395047	21687
p=2-4|antVPD0.0315-0.0576	0.0315	0.0576	0.0441317715024366	3.04464133875475	3.04464133875475	3.82030828125569	0.199424199672613	0.141759163611511	0.00925498748461018	8.18197353009911	0.694641041805368	0.761931174083255	0.00547227561251029	2.31980714989982	0.0166611165469083	4887
p=4-6|antVPD0.0315-0.0576	0.0315	0.0576	0.0441317715024366	5.01929258329239	5.01929258329239	3.14668809919521	0.188745922380071	0.403678793835938	0.0386033317536273	5.32497978436002	0.538564156381152	0.854507115486952	0.00496383480181769	4.28902122713423	0.0249149392054522	1704
p=6-10|antVPD0.0315-0.0576	0.0315	0.0576	0.0441317715024366	7.60069135120892	7.60069135120892	2.55548708617566	0.166162807900296	0.882890915763018	0.113339176032591	3.52869290581646	0.421063883200444	0.796896302499356	0.00488786985976545	6.05696283421722	0.037151190168954	600
p<2|antVPD0.0576-0.0931	0.0576	0.0931	0.0720977512086773	1.09389839480793	1.09389839480793	7.07648047514224	0.296125727995801	0.0145985194879993	0.000508525328571154	23.3081808477097	1.80195414408635	0.635590591774188	0.00886328457444911	0.695271528096808	0.00969553276871579	17693
p=2-4|antVPD0.0576-0.0931	0.0576	0.0931	0.0720977512086773	3.00996726392429	3.00996726392429	3.86958545980324	0.207402875778674	0.118095353475915	0.00798176255867934	7.67015287898716	0.622074915030408	0.610092863760807	0.00665365145544122	1.83635954787385	0.0200272730664403	3227
p=4-6|antVPD0.0576-0.0931	0.0576	0.0931	0.0720977512086773	4.99122698680577	4.99122698680577	3.19307365033559	0.160309422201926	0.380669708512699	0.0290467042896089	5.53893434482299	0.397612610091401	0.81292827041732	0.00699674300945499	4.05750952164427	0.0349223325285363	948
p=6-10|antVPD0.0576-0.0931	0.0576	0.0931	0.0720977512086773	7.65393206733429	7.65393206733429	2.57044766624685	0.177520488979667	0.872674323703637	0.112771499800893	3.67808611686677	0.42112710447654	0.886477403410004	0.00759370659848178	6.78503782492707	0.0581217144440477	315
p<2|antVPD0.0931-0.185	0.0931	0.185	0.121510173384481	1.00619036221478	1.00619036221478	83.4826782925098	0.380222218861643	0.00962739047821886	0.000835536602886026	13.7913781417334	1.57449094053602	0.571410368175706	0.0129137918537506	0.574947605327992	0.0129937329028916	10671
p=2-4|antVPD0.0931-0.185	0.0931	0.185	0.121510173384481	2.93876285426448	2.93876285426448	3.92990980542159	0.205308833034022	0.0818502867461614	0.00560749913588759	8.22241218570985	0.691987886885955	0.604243745222086	0.0116786241870218	1.77572907338032	0.0343207069497344	1175
p=4-6|antVPD0.0931-0.185	0.0931	0.185	0.121510173384481	4.960839286102	4.960839286102	3.31671408278987	0.190855448753207	0.203212958080662	0.0170846545216475	6.30951843600279	0.689065130264399	0.692856404929483	0.0143774310092502	3.43714927320158	0.0713241245839094	286
p=6-10|antVPD0.0931-0.185	0.0931	0.185	0.121510173384481	7.47085326953748	7.47085326953748	2.68539825739333	0.157410347685825	0.574640499695097	0.0610555046583456	4.17089559618495	0.45372542385133	0.95574533487561	0.0211702281294642	7.14023315990065	0.158159668037862	66
p<2|antVPD0.185-2.59	0.185	2.589898865	0.302299653529931	0.911664840714176	0.911664840714176	1.58548935303248	0.413075016614815	0.00172393370239697	0.0018219467902159	0.574679893553677	0.900308195405622	-1.53914126238402	0.0306052600441749	-1.40318097380795	0.0279017395231886	2850
p=2-4|antVPD0.185-2.59	0.185	2.589898865	0.302299653529931	2.9964288869258	2.9964288869258	1.90597139752547	0.231141767304433	0.0151033652250727	0.00584914329901513	1.71623313952829	0.816924712411382	-0.308963618258229	0.0284220731599407	-0.925787510758071	0.0851647210427647	270
p=4-6|antVPD0.185-2.59	0.185	2.589898865	0.302299653529931	5.01220918960838	5.01220918960838	2.64277094988532	0.164072799697953	0.0888403524546493	0.0131963652617311	3.00729568029574	0.484615578297556	0.101828853681222	0.0322574254595584	0.51038751618831	0.161680964321506	79
