setwm_label	lwr_antVPD	lwr_antQ	upr_antVPD	upr_antQ	mean_antVPD	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<2|antVPD-0.0951-0.0932|antQ0.00876-0.1	-0.095080156	0.00875866	0.0932	0.1	0.044818186708806	0.0640221056254815	1.04357133745296	1.04357133745296	5.58598607236185	0.253700815839334	0.00567369666912493	0.000588052595152859	6.19429523385629	0.607024704859873	-0.0515640668387579	0.0070866400134415	-0.0538107821954364	0.00739541439687481	11623
p=2-4|antVPD-0.0951-0.0932|antQ0.00876-0.1	-0.095080156	0.00875866	0.0932	0.1	0.044818186708806	0.0640221056254815	3.00933386698348	3.00933386698348	4.13736378881328	0.0569820716269251	0.0414234713466166	0.00124551020258057	4.16503416882125	0.175912318795166	-0.00426890580316623	0.00607357008387761	-0.0128465628084304	0.0182774001469106	1552
p=4-6|antVPD-0.0951-0.0932|antQ0.00876-0.1	-0.095080156	0.00875866	0.0932	0.1	0.044818186708806	0.0640221056254815	4.98900120303013	4.98900120303013	3.35640945518678	0.0794702950483652	0.100844519533553	0.00517890592061082	3.21073712939283	0.10477080292009	-0.0625885482197685	0.00705906210329012	-0.312254342364335	0.0352176693255788	371
p=6-10|antVPD-0.0951-0.0932|antQ0.00876-0.1	-0.095080156	0.00875866	0.0932	0.1	0.044818186708806	0.0640221056254815	7.55750317662008	7.55750317662008	2.75041942695601	0.0478102760046896	0.20852975085715	0.00951939906872382	2.60850893932857	0.0809491276383984	-0.0672351993742916	0.00920491825561961	-0.508130232851893	0.0695661989573733	102
p<2|antVPD-0.0951-0.0932|antQ0.1-0.2	-0.095080156	0.1	0.0932	0.2	0.0442290871490138	0.147446667470031	1.05332875665855	1.05332875665855	5.29058097814241	0.177028917314526	0.017127612338589	0.000816460204207474	9.92123446322089	0.867451905209236	0.434751407156812	0.00670410466885315	0.457936159156038	0.00706162623535184	12634
p=2-4|antVPD-0.0951-0.0932|antQ0.1-0.2	-0.095080156	0.1	0.0932	0.2	0.0442290871490138	0.147446667470031	2.98405363677255	2.98405363677255	3.80818853070725	0.112305817438692	0.0804339778333702	0.00299554710336905	5.34943478201592	0.259897371312867	0.341465400912104	0.00562580221646928	1.01895107142376	0.0167876955638182	1845
p=4-6|antVPD-0.0951-0.0932|antQ0.1-0.2	-0.095080156	0.1	0.0932	0.2	0.0442290871490138	0.147446667470031	5.00693240030803	5.00693240030803	2.95186300148587	0.0335422536559895	0.22155337967579	0.0038749035721454	3.53704829550481	0.0929698008021109	0.310667157827119	0.00686015138949937	1.55548945823621	0.0343483142631026	424
p=6-10|antVPD-0.0951-0.0932|antQ0.1-0.2	-0.095080156	0.1	0.0932	0.2	0.0442290871490138	0.147446667470031	7.51736535090371	7.51736535090371	2.63393403874352	0.078894358403028	0.456195583588716	0.034515387806445	2.86963350325152	0.168210509419642	0.339364278431166	0.00814827001039265	2.55112526801288	0.0612535226459335	123
p<2|antVPD-0.0951-0.0932|antQ0.2-0.5	-0.095080156	0.2	0.0932	0.5	0.0454236486400487	0.327989699609345	1.10138043716123	1.10138043716123	4.98159883215477	0.124832265507199	0.0248760297105224	0.000509811263978683	12.9716749838549	0.722907836939752	0.661433638366198	0.00536046177201088	0.728490069776905	0.0059039077298434	19880
p=2-4|antVPD-0.0951-0.0932|antQ0.2-0.5	-0.095080156	0.2	0.0932	0.5	0.0454236486400487	0.327989699609345	3.01508184104559	3.01508184104559	3.36400058737146	0.127125275365987	0.136401897041189	0.00796435745639875	5.28805572800006	0.263894252765193	0.612750812333549	0.00428757790166275	1.84749384735281	0.0129273982733717	3544
