lagtime	wtd_avg_RRD_p|antQ0.0221-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.4	wtd_avg_RRD_p|antQ0.4-2.86	se_p|antQ0.0221-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.4	se_p|antQ0.4-2.86
0.333333333333333	0.000331829130110189	0.00187923875915392	0.00567459298719632	0.00974068127740285	0.000179786193577145	0.000151470911398156	0.000167622639701098	0.000229843811719285
1	0.00105048158306838	0.00276660525867091	0.00615661750140263	0.00945970065827354	0.000145574615645833	0.000120156272448038	0.000131954834216	0.000178710521011744
2	0.0018515141827759	0.00487290091741804	0.00910974288037833	0.012645959132553	0.000174973719340401	0.000141752140358625	0.000153782597900643	0.000205685476674023
3	0.00305736176427095	0.00672091036818193	0.0105203427561355	0.0138912149813701	0.000189271984509648	0.000152114156098762	0.000163265218666068	0.000215507202905475
4	0.00386977000059637	0.00774873363861556	0.0110022497971481	0.0134720136250063	0.000197102725210727	0.000158296398493362	0.000168488686174057	0.00021934742264994
5	0.00428998320183456	0.0079587430564072	0.0106831562540699	0.0126402701198952	0.000202281293956523	0.000162937054977219	0.000172365289731677	0.00022196136202193
6	0.004489329655696	0.00763768387610928	0.00998666726044682	0.0112274085824221	0.000206507635298491	0.000167004683900106	0.000175661255263606	0.000224294079981198
7	0.00417487168562491	0.00683505587312269	0.00856369461974975	0.00943793826263739	0.000210327253956747	0.000170487362139069	0.000178655163756109	0.000226251976586507
8	0.00397651164856964	0.00586551800994543	0.00726098562848216	0.008070807620249	0.000213778014978896	0.000173498801680639	0.000181045075335922	0.000227954498184716
9	0.0034797479492496	0.00497133792577992	0.00647044958536075	0.00709371646362404	0.000216800302657911	0.00017610372854612	0.000182938301447392	0.000229167642326479
10	0.00290571583817007	0.00423477112681334	0.00573919685254386	0.00632254011256236	0.000219418966797822	0.000178347399776152	0.000184706808132282	0.000229982363449951
11	0.0024026794605041	0.0037519870455179	0.00540649842026518	0.00669346957747037	0.000221574504923265	0.000180230351730305	0.000186248308341684	0.0002305885731245
12	0.00201525294668148	0.00328262900116255	0.00546385925246926	0.00641337026908007	0.000223294538444552	0.0001818551837911	0.00018761691374114	0.000231085862223844
13	0.0016779734018311	0.00289987385760393	0.00554735884020681	0.00609292269726598	0.000224771529152187	0.000183264205753909	0.000188792857234249	0.000231603554342959
14	0.0015058363693726	0.00266419938987015	0.00560634050849271	0.00561022588791204	0.00022605912864225	0.000184461121082957	0.000189768615018407	0.000231885851117429
15	0.0011832582336842	0.00247994120754042	0.00552816075416762	0.00514491002596254	0.000227134072734638	0.000185423550724537	0.000190662328395792	0.000232162185030687
16	0.000916904037234492	0.00234937770209335	0.00526032123191517	0.00495863808541039	0.000228094950715524	0.000186232598003869	0.000191412785237408	0.00023232658514266
17	0.000875800944467876	0.00247724301304854	0.00506831577723736	0.0052734934114118	0.000228963289946058	0.000186929498100765	0.000192055736436786	0.00023252441029987
18	0.000963147840454937	0.00256329872110438	0.00500410642489784	0.00554948579935946	0.000229739513910456	0.000187498203525305	0.000192615254717577	0.000232628854665703
19	0.000770562078592395	0.00260838361901252	0.00492173526477443	0.00593029269565286	0.000230390506135335	0.00018802613048725	0.000193082562330447	0.000232710660663064
20	0.000661749786447404	0.00241082128713337	0.00458463925151431	0.0058819632644614	0.000230931674676882	0.000188476955722675	0.000193495258093765	0.000232671781914686
21	0.000358908535621634	0.00223925445216028	0.00435132563604049	0.00572123165865663	0.000231414241200934	0.000188872316388734	0.0001939094273057	0.000232574920010798
22	0.000269723119245873	0.00230082040258624	0.00428757682785487	0.00533430367741426	0.000231831471259888	0.00018921323262967	0.000194235616822358	0.000232321764353296
23	0.000382076791173275	0.00214028882509324	0.00418740463722106	0.00505359942376662	0.000232154857097171	0.000189523652568861	0.00019449268551136	0.00023205817898404
24	0.000162763324754257	0.00211428256431041	0.00411866070101769	0.0048683471635345	0.000232412746798532	0.000189809338587047	0.000194679242176134	0.000231857890368764
25	0.00018325526844134	0.00194773326114571	0.00384900074197056	0.00454755354019594	0.000232567508896707	0.00019006137704804	0.000194854496979302	0.000231674912908401
26	-4.58315632189941e-05	0.00196108006699039	0.0036721672693769	0.00423163788726756	0.000232673796083252	0.000190277390433599	0.000195027946305025	0.000231371400449715
27	-0.000340640907982607	0.00195752427760936	0.00369905512745912	0.00404482067810839	0.000232784565470476	0.000190448143801533	0.000195166303755321	0.000230863320537203
28	-0.000517940655332807	0.0019005668087547	0.00373310753293143	0.00425386537214645	0.000232892956373541	0.000190583663273031	0.000195282430740401	0.000230464659277928
29	-0.000612261662135117	0.00201041937292981	0.00370172316250336	0.00453913332011255	0.000232968315394302	0.000190762637384042	0.000195417485685585	0.000230003073817861
30	-0.000726039858346477	0.00190658997460752	0.00373995753341834	0.0042490520388735	0.000233004560112433	0.000190932310026819	0.000195617609200294	0.000229589773529384
31	-0.000499557120918083	0.00165811934743992	0.00363271953420648	0.00391158552252268	0.000233033873633433	0.000191073044838474	0.000195769712178987	0.000229129100423755
32	-0.000632509423546906	0.00153421388302978	0.00347235269471195	0.00405460851083807	0.00023311420791352	0.000191222252027902	0.000195814400114474	0.000228799131252914
33	-0.000908632795997043	0.00130068330200501	0.00327652157740856	0.00421498357327485	0.000233209348979279	0.000191355481574366	0.000195825888263443	0.000228654282918072
34	-0.000920045923110604	0.00125640393710522	0.00312775738719759	0.00422513151999433	0.000233298500650855	0.00019147039968427	0.00019588677070461	0.000228551915667055
35	-0.000857147095973704	0.00143466629053517	0.00315202052659958	0.00413749471511275	0.000233366973397084	0.000191561576441753	0.000195941403550491	0.000228458004823234
