lagtime	wtd_avg_RRD_p|antQ0.0221-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.4	wtd_avg_RRD_p|antQ0.4-2.86	se_p|antQ0.0221-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.4	se_p|antQ0.4-2.86
0.333333333333333	0.000361206714328458	0.00155887656787998	0.0054666190192814	0.0101443930953097	0.000178823749072891	0.000150660046318201	0.000166725310016549	0.00022861339513932
1	0.00108513225308404	0.00241115682431826	0.00590395439044718	0.00989854935940838	0.000143674008679481	0.000118580848459939	0.000130222365507549	0.000176360710631659
2	0.00190761464625045	0.00436133157078743	0.00873174581974664	0.0133482633353297	0.000171663657573328	0.000139072371813338	0.000150882368920095	0.000201803782997132
3	0.00313794719765578	0.00610711085748022	0.0100480303194969	0.0148601400522352	0.000184517227164077	0.000148328224100875	0.000159275684739222	0.000210274948821114
4	0.00397892532229666	0.00707168185669943	0.0104518584073118	0.0146467918854701	0.00019081335629485	0.000153320032624427	0.000163411169808164	0.000212917344193409
5	0.00443490795895941	0.00723112063350913	0.0100461433057662	0.0139386877491798	0.000194399814936439	0.000156675510542338	0.000166160335729042	0.000214323355119147
6	0.00467661537192749	0.00686650246596837	0.00925776075840759	0.0125538634211558	0.000196983203128762	0.000159377537386485	0.000168299547276939	0.000215387970904974
7	0.00440758421674756	0.00602216615975189	0.00773955443319823	0.0107418794016611	0.000199138925131183	0.000161531630280422	0.000170141997263435	0.000216163857003805
8	0.00425486368264292	0.0050140805443253	0.00635751254752834	0.00933798558748427	0.000200979632430514	0.000163289944676378	0.000171504003564005	0.000216827718172534
9	0.00380182402619292	0.00408446041371246	0.00548912342197037	0.00832489583751849	0.00020250144609933	0.000164724581365079	0.000172493385898869	0.000217207966519995
10	0.00327312420733548	0.00332616136730024	0.00469209901896349	0.0075162146306824	0.000203744433619074	0.000165889817862654	0.00017341212814352	0.000217349163175846
11	0.00281226841241253	0.00282510275715481	0.00429379967025098	0.00783392896502348	0.00020468738102007	0.000166807416877238	0.000174183159596264	0.000217347485198683
12	0.00246519928730171	0.00234635024850884	0.00429067546018122	0.00749782366887286	0.000205358095119099	0.000167565703371443	0.000174816606725137	0.000217319139028641
13	0.0021627868217253	0.00196642029173407	0.00433476614942015	0.00711898039895798	0.000205889726402213	0.00016819647342017	0.000175331815822477	0.000217369846607991
14	0.0020233617395449	0.00173500814532106	0.00435640423111982	0.00659102944637422	0.000206333407941851	0.000168694232903846	0.000175720416312778	0.000217242831513913
15	0.0017298011372975	0.00156138179883088	0.00423936466201991	0.00606565420698541	0.000206667641884775	0.000169053595112463	0.000176045268839307	0.000217146665634414
16	0.00149125743046266	0.00144273800133077	0.00395364518533683	0.00583495946426999	0.000206956379799418	0.000169302284573497	0.000176278702388315	0.000217040941043769
17	0.00147592397121695	0.00157857945012657	0.00374160756317371	0.0061030598112292	0.000207215138805721	0.000169473386694131	0.000176465199093961	0.000217005588701224
18	0.00158823156846232	0.00167283215175513	0.00365747573664987	0.00632605221325461	0.000207447628907941	0.000169595406646673	0.000176615219986331	0.000216870207272518
19	0.00141982039479902	0.00172770492011104	0.00356766229123751	0.00666569662322531	0.000207642716162724	0.00016973757097477	0.00017673255200482	0.000216778126483956
20	0.00133810967856259	0.0015402106510713	0.00321812353720532	0.00657257539164908	0.000207799296147451	0.000169863592003737	0.000176843673947038	0.000216643288907309
21	0.00105948932731219	0.00138209617130647	0.00297326129114154	0.00636446531539231	0.000207941723166363	0.000169997574878751	0.00017698204086349	0.000216482384578503
22	0.000992392077035757	0.00145674657232283	0.0028984877130036	0.00593201272674182	0.00020805687719253	0.000170111273005118	0.000177087529423992	0.000216172884837167
23	0.00112636077678601	0.00130921381538152	0.00279475290445267	0.00560188334138894	0.000208140330249397	0.000170203668321787	0.000177162889736003	0.000215852711355755
24	0.000928498082254438	0.00129301471824748	0.00272579056607581	0.00537855446159045	0.000208211053249143	0.000170279857856434	0.000177197721445736	0.000215616354342307
25	0.000968107864918566	0.00113877870829564	0.00245715703888269	0.00501705721677324	0.000208247447103364	0.000170367753337992	0.000177245635745879	0.000215421793055683
26	0.000758694270057525	0.0011653125734923	0.00229008698365455	0.00465787240556309	0.000208263022186896	0.000170454068026719	0.000177313083283739	0.000215113646521294
27	0.000485950874641286	0.00117341922027103	0.00231988207358169	0.00442382366653186	0.000208305306607653	0.000170516755528888	0.000177341358325747	0.000214589543385513
28	0.000331270434663318	0.00112654413602651	0.00235600378218083	0.00459683593905981	0.00020837172264798	0.000170566909757832	0.000177354556296812	0.000214198988041264
29	0.000258153276321606	0.0012445306009488	0.00231873175943172	0.00484429775864853	0.000208442760532698	0.000170671080225006	0.000177390248445483	0.000213732008542981
30	0.000162446781106061	0.00115037442789317	0.00235583306040131	0.00451852962173284	0.000208498038074948	0.000170766116570986	0.000177500245521817	0.000213345280365309
31	0.000406457902590084	0.00091191448237911	0.00225157385238863	0.00415667739261983	0.000208552951957169	0.000170831796472095	0.000177578937590137	0.000212931546697294
32	0.000290758957444667	0.000802901853190818	0.00209146042948197	0.00428154595858339	0.000208671775459063	0.000170918266286671	0.000177557891215221	0.000212656253422509
33	3.04810391911524e-05	0.000582428979115916	0.00190713786235747	0.00443486771176758	0.000208810277026111	0.000170996529519607	0.00017751829218399	0.000212553408839836
34	3.55128429934956e-05	0.000554777912733017	0.00176577450648674	0.00442106309900225	0.000208939143352751	0.000171065418173581	0.000177531072386379	0.000212487311977971
35	0.000112469749008384	0.000748745103703743	0.00179183742842075	0.0042889290686969	0.000209016514827049	0.00017111593611509	0.000177538487442657	0.000212414020239973
